,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q24,Q1_Browser,Q1_Version,Q1_Operating System,Q1_Resolution,Q3,Q4,Q5,Q6,Q7,Q29,Q8,Q9,Q31,Q10,Q32_First Click,Q32_Last Click,Q32_Page Submit,Q32_Click Count,Q33_First Click,Q33_Last Click,Q33_Page Submit,Q33_Click Count,Q34_First Click,Q34_Last Click,Q34_Page Submit,Q34_Click Count,Q35_First Click,Q35_Last Click,Q35_Page Submit,Q35_Click Count,Q36_First Click,Q36_Last Click,Q36_Page Submit,Q36_Click Count,Q37,Path,Q30,Q32,Q33,Q41,Q36,Q39,,Q38_1    Mesa Management,Q38_2   Mackenzie Dunn,,Q32,Q27,Q28,Q29,Q31,,Q32 - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Participation in this study is voluntary, and will take a little over 20 minutes of your time.  All information you provide is considered completely confidential and anonymous; your name or other identifying information will not be collected in the study. The web site is programmed to collect responses alone and will not collect any information that could potentially identify you (such as machine identifiers). 

You should know that there is an attention check and the failure to pay attention will disqualify your response. 

Thank you for your interest in our research and for your assistance with this project.",Browser Meta Info - Browser,Browser Meta Info - Version,Browser Meta Info - Operating System,Browser Meta Info - Resolution,What number did you hear?,What word did you see?,What is your sex?,How old are you?,Which of the following best describes your ethnicity?,Are you Spanish/Hispanic/Latino,What is the highest degree or level of school you have completed?,Which of the following best describes your total household income?,Where would you place yourself on this scale?,What is your zip code?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Identify the statement that correctly describes the facts of this case. (This is the attention check),Path,Was defendant Mesa Management negligent?,Was Mesa Management's negligence a substantial factor in causing harm to  Mackenzie Dunn?,What are the total damages that you find that MacKenzie Dunn sufferered?,Please write your answer to the preceding damages question in words (quality check).,Was MacKenzie Dunn negligent?,Was Mackenzie Dunn's negligence a substantial factor in causing her own injuries?,,What percentage of responsibility for Mackenzie Dunn's injuries was each party responsible for? (Answers should add up to 100%) - Mesa Management Co,What percentage of responsibility for Mackenzie Dunn's injuries was each party responsible for? (Answers should add up to 100%) - Mackenzie Dunn,,Please explain why you arrived at your decision? (50 character minimum),"If the plaintiff were to recover damages, who do you think would ultimately be responsible for paying the award?","When making your decision on this case, did you think about who would ultimately  be responsible for paying the award?",Has answering the last two questions affected how you would have decided the case?,"If you answered yes to the preceding answer, can you explain how this might influence your decision?",,Q32 - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",{"ImportId":"status"},{"ImportId":"ipAddress"},{"ImportId":"progress"},{"ImportId":"duration"},{"ImportId":"finished"},"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",{"ImportId":"_recordId"},{"ImportId":"recipientLastName"},{"ImportId":"recipientFirstName"},{"ImportId":"recipientEmail"},{"ImportId":"externalDataReference"},{"ImportId":"locationLatitude"},{"ImportId":"locationLongitude"},{"ImportId":"distributionChannel"},{"ImportId":"userLanguage"},{"ImportId":"QID24"},{"ImportId":"QID15_BROWSER"},{"ImportId":"QID15_VERSION"},{"ImportId":"QID15_OS"},{"ImportId":"QID15_RESOLUTION"},{"ImportId":"QID16"},{"ImportId":"QID17"},{"ImportId":"QID1"},{"ImportId":"QID2_TEXT"},{"ImportId":"QID3"},{"ImportId":"QID43"},{"ImportId":"QID4"},{"ImportId":"QID5"},{"ImportId":"QID45"},{"ImportId":"QID6_TEXT"},{"ImportId":"QID46_FIRST_CLICK"},{"ImportId":"QID46_LAST_CLICK"},{"ImportId":"QID46_PAGE_SUBMIT"},{"ImportId":"QID46_CLICK_COUNT"},{"ImportId":"QID47_FIRST_CLICK"},{"ImportId":"QID47_LAST_CLICK"},{"ImportId":"QID47_PAGE_SUBMIT"},{"ImportId":"QID47_CLICK_COUNT"},{"ImportId":"QID48_FIRST_CLICK"},{"ImportId":"QID48_LAST_CLICK"},{"ImportId":"QID48_PAGE_SUBMIT"},{"ImportId":"QID48_CLICK_COUNT"},{"ImportId":"QID49_FIRST_CLICK"},{"ImportId":"QID49_LAST_CLICK"},{"ImportId":"QID49_PAGE_SUBMIT"},{"ImportId":"QID49_CLICK_COUNT"},{"ImportId":"QID50_FIRST_CLICK"},{"ImportId":"QID50_LAST_CLICK"},{"ImportId":"QID50_PAGE_SUBMIT"},{"ImportId":"QID50_CLICK_COUNT"},{"ImportId":"QID51"},{"ImportId":"Path"},{"ImportId":"QID30"},{"ImportId":"QID32"},{"ImportId":"QID33_TEXT"},{"ImportId":"QID55_TEXT"},{"ImportId":"QID36"},{"ImportId":"QID39"},,{"ImportId":"QID38_1"},{"ImportId":"QID38_2"},,{"ImportId":"QID42_TEXT"},{"ImportId":"QID27"},{"ImportId":"QID28"},{"ImportId":"QID29"},{"ImportId":"QID41_TEXT"},,{"ImportId":"QID42_TEXT_d053058389a044a28e444d75Topics"}
9/29/2017 13:58,9/29/2017 14:16,IP Address,76.30.119.122,100,1091,TRUE,9/29/2017 14:16,R_2X7pedqJgsbDpUF,,,,,29.92340088,-95.05780029,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Windows NT 6.3,1920x1080,47,Elephant,Female,40,White,"No, not Spanish/Hispanic/Latino",High school graduate (diploma or GED),"$10,000 to $29,999",I have no preference for either party,77521,18.43,535.899,892.685,3,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,I don't think it was the buildings fault that she fell. Accidents happen. I think if she already knew someone else fell she should have been more careful. ,The defendant's insurance company,No,No,,,Unknown
9/29/2017 14:00,9/29/2017 14:18,IP Address,173.239.240.26,100,1092,TRUE,9/29/2017 14:18,R_3JacMZzCDZiNnvw,,,,,41.84829712,-87.65170288,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Windows NT 10.0,2048x1152,47,Elephant,Male,34,White,"No, not Spanish/Hispanic/Latino","Bachelor's degree (e.g. BS, BA, or AB)","$50,000 to $99,999",I strongly prefer Democrats,60563,165.927,165.927,893.333,1,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,The stairs were up to code in the city they were built in. It is also impossible to know for sure if the stairs were the cause of her fall or if she took a misstep and was careless. Since the stairs were not out of code the defendant is not negligent in this case.,The defendant's insurance company,No,No,,,Unknown
9/29/2017 13:57,9/29/2017 14:19,IP Address,71.68.108.119,100,1291,TRUE,9/29/2017 14:19,R_1PYm5COdmfSGLGq,,,,,35.18330383,-80.64230347,anonymous,EN,"Yes, I consent",Firefox,55,Windows NT 10.0,1280x720,47,Elephant,Male,30,Black or African American,"No, not Spanish/Hispanic/Latino","Bachelor's degree (e.g. BS, BA, or AB)","$30,000 to $49,999",I lean toward Democrats,28211,1014.258,1014.258,1021.219,1,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,"During Robert Beaumann's testimony, he said that the new building codes did not apply to those built before 2000. Also, the steps were not in poor condition.",,No,No,,,Unknown
9/29/2017 14:01,9/29/2017 14:21,IP Address,68.77.43.30,100,1193,TRUE,9/29/2017 14:21,R_3GxGuFU1rAaElzz,,,,,33.71000671,-117.9477997,anonymous,EN,"Yes, I consent",Firefox,55,Windows NT 10.0,1920x1080,47,Elephant,Male,35,Asian,"No, not Spanish/Hispanic/Latino","Bachelor's degree (e.g. BS, BA, or AB)","$10,000 to $29,999",I have no preference for either party,92683,0,0,897.977,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,I would think it was the plaintiff careless mistakes when walking down the stairs and causing her to fall. The stairway looks fine nothing broken or look damaged in any way. It more likely because the plaintiff was not careful enough when walking this stair and might have slips and fell.,The defendant's insurance company,Yes,No,,,Unknown
9/29/2017 14:04,9/29/2017 14:23,IP Address,76.18.221.168,100,1147,TRUE,9/29/2017 14:23,R_3nUdd7S0la2BLCp,,,,,30.06889343,-81.56210327,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Windows NT 6.3,1366x768,47,Elephant,Male,29,White,"No, not Spanish/Hispanic/Latino","Bachelor's degree (e.g. BS, BA, or AB)","$30,000 to $49,999",I strongly prefer Democrats,32223,308.921,308.921,905.689,1,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,The plaintiff didn't demonstrate well enough that the stairs at the location was negligently built. They could have compared more buildings in the area to the the ones at the location to and compare whether or not the stairs were the exception. Doing so would have made their case stronger. ,,No,No,,,Unknown
9/29/2017 14:06,9/29/2017 14:25,IP Address,24.113.21.104,100,1138,TRUE,9/29/2017 14:25,R_3hEeWpvsndca8JF,,,,,47.99609375,-123.2518997,anonymous,EN,"Yes, I consent",Firefox,56,Windows NT 6.1,1024x768,47,Elephant,Male,43,White,"No, not Spanish/Hispanic/Latino","Bachelor's degree (e.g. BS, BA, or AB)","$100,000 to $199,999",I strongly prefer Democrats,98040,4.009,896.557,897.904,2,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,The stairs were constructed up to code and still satisfied the current building code. the stairs appear to have been adequately maintained. the plaintiff had navigated the stairs before without incident.,The defendant's insurance company,No,No,,,Unknown
9/29/2017 14:06,9/29/2017 14:26,IP Address,108.6.19.78,100,1187,TRUE,9/29/2017 14:26,R_XBYOh81eHoEReqR,,,,,40.72290039,-73.8423996,anonymous,EN,"Yes, I consent",Chrome,61.0.3163.100,Windows NT 6.1,1280x720,47,Elephant,Male,61,White,"No, not Spanish/Hispanic/Latino","Professional degree (e.g. MD, DDS, or JD)","$10,000 to $29,999",I strongly prefer Democrats,11375,0,0,894.897,0,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,"I was persuaded by the testimony of the defendant's expert.  While this was an unfortunate accident, the stairs complied with the building code when they were built.  Plaintiff cannot prove that the fall was caused by defective construction of the stairs and she may have been rushing and not paying attention when she descended the stairs and her inattention may be the reason why she fell.  ",The defendant's insurance company,No,No,,,Unknown
9/29/2017 14:16,9/29/2017 14:35,IP Address,64.151.28.112,100,1145,TRUE,9/29/2017 14:35,R_31XmhXtMeAMQSqX,,,,,38.95359802,-94.7335968,anonymous,EN,"Yes, I consent",Chrome,60.0.3112.113,Windows NT 10.0,1366x768,47,Elephant,Female,40,White,"No, not Spanish/Hispanic/Latino","Bachelor's degree (e.g. BS, BA, or AB)","$50,000 to $99,999",I lean toward Republicans,66212,28.421,886.161,887.176,4,,,,,,,,,,,,,,,,,The plaintiff fell and injured her leg.,1,No,No,,,,,,,,,I felt that because the stairs were to code and that the plaintiff could not directly attribute her fall to the steepness of the stairs all went into my decision to find the defendant not liable.,The defendant's insurance company,No,No,,,Unknown
