,Mesa_Negligent,damages,Liability,gender,damages_word,Scenario,Dunn_negligent,perc_calc,Start Date,End Date,mm_perc,Discounted_damages,winrate_percentage,Discounted_damages_mean,Discounted_damages_median,Discounted_damages_sd,Discounted_damages_mean1,Discounted_damages_median1,Discounted_damages_sd1
0,No,0.0,0,Female,0,1,,0.0,2017-09-29 13:58:00,2017-09-29 14:16:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,No,0.0,0,Male,0,1,,0.0,2017-09-29 14:00:00,2017-09-29 14:18:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
2,No,0.0,0,Male,0,1,,0.0,2017-09-29 13:57:00,2017-09-29 14:19:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,No,0.0,0,Male,0,1,,0.0,2017-09-29 14:01:00,2017-09-29 14:21:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
4,No,0.0,0,Male,0,1,,0.0,2017-09-29 14:04:00,2017-09-29 14:23:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
5,No,0.0,0,Male,0,1,,0.0,2017-09-29 14:06:00,2017-09-29 14:25:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
6,No,0.0,0,Male,0,1,,0.0,2017-09-29 14:06:00,2017-09-29 14:26:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
7,No,0.0,0,Female,0,1,,0.0,2017-09-29 14:16:00,2017-09-29 14:35:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
8,No,0.0,0,Male,0,1,,0.0,2017-09-29 14:27:00,2017-09-29 14:49:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
9,No,0.0,0,Female,0,1,,0.0,2017-09-29 14:44:00,2017-09-29 15:02:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
10,No,0.0,0,Male,0,1,,0.0,2017-09-29 15:09:00,2017-09-29 15:27:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
11,No,0.0,0,Female,0,1,,0.0,2017-09-29 15:55:00,2017-09-29 16:16:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
12,No,0.0,0,Male,0,1,,0.0,2017-09-29 18:28:00,2017-09-29 18:51:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
13,No,0.0,0,Female,0,1,,0.0,2017-09-29 19:54:00,2017-09-29 20:14:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
14,No,0.0,0,Male,0,1,,0.0,2017-09-29 20:56:00,2017-09-29 21:16:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
15,No,0.0,0,Male,0,1,,0.0,2017-09-30 11:47:00,2017-09-30 12:04:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
16,No,0.0,0,Male,0,1,,0.0,2017-09-30 12:56:00,2017-09-30 13:13:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
17,No,0.0,0,Male,0,1,,0.0,2017-09-30 14:15:00,2017-09-30 14:26:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
18,No,0.0,0,Male,0,1,,0.0,2017-09-30 16:19:00,2017-09-30 16:38:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
19,No,0.0,0,Male,0,1,,0.0,2017-10-01 21:22:00,2017-10-01 21:40:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,No,0.0,0,Male,0,1,,0.0,2017-10-01 21:47:00,2017-10-01 22:07:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
21,No,0.0,0,Female,0,1,,0.0,2017-10-02 02:43:00,2017-10-02 03:02:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
22,No,0.0,0,Female,0,1,,0.0,2017-10-02 06:47:00,2017-10-02 07:11:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
23,No,0.0,0,Female,0,1,,0.0,2017-10-02 07:12:00,2017-10-02 07:31:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
24,No,0.0,0,Male,0,1,,0.0,2017-10-02 07:21:00,2017-10-02 07:38:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
25,No,0.0,0,Male,0,1,,0.0,2017-10-02 07:57:00,2017-10-02 08:15:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
26,No,0.0,0,Male,0,1,,0.0,2017-10-02 08:31:00,2017-10-02 08:50:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
27,No,0.0,0,Male,0,1,,0.0,2017-10-02 09:01:00,2017-10-02 09:19:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
28,No,0.0,0,Female,0,1,,0.0,2017-10-02 09:20:00,2017-10-02 09:43:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
29,No,0.0,0,Male,0,1,,0.0,2017-10-02 10:41:00,2017-10-02 10:59:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
30,No,0.0,0,Female,0,1,,0.0,2017-10-02 11:06:00,2017-10-02 11:25:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
31,No,0.0,0,Male,0,1,,0.0,2017-10-02 12:35:00,2017-10-02 12:54:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
32,No,0.0,0,Male,0,1,,0.0,2017-10-02 13:37:00,2017-10-02 13:57:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
33,No,0.0,0,Male,0,1,,0.0,2017-10-03 05:53:00,2017-10-03 06:12:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
34,No,0.0,0,Female,0,1,,0.0,2017-10-03 07:27:00,2017-10-03 07:49:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
35,No,0.0,0,Male,0,1,,0.0,2017-10-03 07:34:00,2017-10-03 07:53:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
36,No,0.0,0,Male,0,1,,0.0,2017-10-03 07:39:00,2017-10-03 07:59:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
37,No,0.0,0,Female,0,1,,0.0,2017-10-03 08:24:00,2017-10-03 08:43:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
38,No,0.0,0,Male,0,1,,0.0,2017-10-03 17:30:00,2017-10-03 17:47:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
39,No,0.0,0,Male,0,1,,0.0,2017-10-04 09:56:00,2017-10-04 10:30:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
40,No,0.0,0,Female,0,1,,0.0,2017-10-04 12:04:00,2017-10-04 12:23:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
41,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:26:00,2017-10-05 17:35:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
42,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:21:00,2017-10-05 17:38:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
43,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:21:00,2017-10-05 17:40:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
44,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:24:00,2017-10-05 17:41:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
45,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:23:00,2017-10-05 17:42:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
46,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:21:00,2017-10-05 17:42:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
47,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:24:00,2017-10-05 17:42:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
48,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:23:00,2017-10-05 17:43:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
49,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:22:00,2017-10-05 17:43:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
50,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:26:00,2017-10-05 17:44:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
51,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:22:00,2017-10-05 17:46:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
52,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:24:00,2017-10-05 17:46:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
53,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:29:00,2017-10-05 17:47:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
54,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:28:00,2017-10-05 17:47:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
55,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:30:00,2017-10-05 17:47:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
56,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:31:00,2017-10-05 17:50:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
57,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:32:00,2017-10-05 17:50:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
58,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:27:00,2017-10-05 17:51:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
59,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:24:00,2017-10-05 17:51:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
60,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:32:00,2017-10-05 17:52:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
61,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:35:00,2017-10-05 17:52:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
62,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:33:00,2017-10-05 17:52:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
63,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:36:00,2017-10-05 17:54:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
64,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:25:00,2017-10-05 17:55:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
65,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:37:00,2017-10-05 17:58:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
66,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:43:00,2017-10-05 18:03:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
67,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:34:00,2017-10-05 18:03:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
68,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:42:00,2017-10-05 18:04:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
69,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:42:00,2017-10-05 18:05:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
70,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:39:00,2017-10-05 18:06:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
71,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:50:00,2017-10-05 18:07:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
72,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:49:00,2017-10-05 18:09:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
73,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:50:00,2017-10-05 18:09:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
74,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:49:00,2017-10-05 18:12:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
75,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:47:00,2017-10-05 18:12:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
76,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:51:00,2017-10-05 18:13:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
77,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:50:00,2017-10-05 18:14:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
78,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:55:00,2017-10-05 18:16:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
79,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:59:00,2017-10-05 18:16:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
80,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:57:00,2017-10-05 18:16:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
81,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:59:00,2017-10-05 18:17:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
82,No,0.0,0,Female,0,1,,0.0,2017-10-05 18:00:00,2017-10-05 18:19:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
83,No,0.0,0,Female,0,1,,0.0,2017-10-05 17:57:00,2017-10-05 18:19:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
84,No,0.0,0,Female,0,1,,0.0,2017-10-05 18:03:00,2017-10-05 18:22:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
85,No,0.0,0,Male,0,1,,0.0,2017-10-05 18:05:00,2017-10-05 18:22:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
86,No,0.0,0,Female,0,1,,0.0,2017-10-05 18:04:00,2017-10-05 18:23:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
87,No,0.0,0,Male,0,1,,0.0,2017-10-05 17:58:00,2017-10-05 18:23:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
88,No,0.0,0,Male,0,1,,0.0,2017-10-05 18:08:00,2017-10-05 18:24:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
89,No,0.0,0,Female,0,1,,0.0,2017-10-05 18:18:00,2017-10-05 18:29:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
90,No,0.0,0,Female,0,1,,0.0,2017-10-05 18:08:00,2017-10-05 18:29:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
91,No,0.0,0,Female,0,1,,0.0,2017-10-05 18:10:00,2017-10-05 18:30:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
92,No,0.0,0,Male,0,1,,0.0,2017-10-05 18:14:00,2017-10-05 18:34:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
93,No,0.0,0,Female,0,1,,0.0,2017-10-05 18:13:00,2017-10-05 18:35:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
94,No,0.0,0,Male,0,1,,0.0,2017-10-05 18:15:00,2017-10-05 18:36:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
95,No,0.0,0,Female,0,1,,0.0,2017-10-05 18:18:00,2017-10-05 18:37:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
96,No,0.0,0,Male,0,1,,0.0,2017-10-05 18:20:00,2017-10-05 18:38:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
97,No,0.0,0,Male,0,1,,0.0,2017-10-05 18:24:00,2017-10-05 18:42:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
98,No,0.0,0,Female,0,1,,0.0,2017-10-05 18:21:00,2017-10-05 18:43:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
99,No,0.0,0,Male,0,1,,0.0,2017-10-05 18:23:00,2017-10-05 18:43:00,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
